Season,Royal Challengers Bangalore,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2012,AB de Villiers,140.0,16.0,0.0,0.0,26.0,15.0,4.0,5.0
2012,Abhimanyu Mithun,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
2012,Andrew McDonald,57.5,4.0,5.0,18.0,6.0,2.0,0.0,0.0
2012,Asad Pathan,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2012,CM Gautam,,,,,,,,
2012,Charl Langeveldt,,,,,,,,
2012,Cheteshwar Pujara,11.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0
2012,Chris Gayle,331.5,15.0,0.0,5.0,46.0,59.0,2.0,0.0
2012,Daniel Vettori,102.0,9.0,5.0,66.0,3.0,1.0,3.0,0.0
2012,Dirk Nannes,,,,,,,,
2012,Harshal Patel,132.0,12.0,9.0,78.0,1.0,0.0,8.0,0.0
2012,KB Arun Karthik,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,KP Appanna,58.5,7.0,6.0,35.0,0.0,0.0,1.0,0.0
2012,Karun Nair,,,,,,,,
2012,Luke Pomersbach,,,,,,,,
2012,Mayank Agarwal,122.5,16.0,0.0,0.0,19.0,15.0,9.0,0.0
2012,Mohammad Kaif,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2012,Muttiah Muralitharan,139.5,10.0,15.0,82.0,0.0,0.0,2.0,0.0
2012,Prasanth Parameswaran,,,,,,,,
2012,Raju Bhatkal,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2012,Rilee Rossouw,,,,,,,,
2012,Ryan Ninan,,,,,,,,
2012,S. Thiagarajan,,,,,,,,
2012,Saurabh Tiwary,58.0,15.0,0.0,0.0,9.0,8.0,3.0,0.0
2012,Sreenath Aravind,12.5,1.0,0.0,5.0,3.0,0.0,0.0,0.0
2012,Syed Mohammed,10.5,2.0,0.0,8.0,1.0,0.0,0.0,0.0
2012,Tillakaratne Dilshan,119.0,10.0,0.0,9.0,33.0,5.0,4.0,0.0
2012,Vijay Zol,,,,,,,,
2012,Vinay Kumar,219.0,15.0,19.0,123.0,3.0,2.0,6.0,0.0
2012,Virat Kohli,137.0,16.0,0.0,2.0,33.0,10.0,7.0,0.0
2012,Zaheer Khan,220.5,16.0,17.0,146.0,1.0,0.0,5.0,0.0
