Season,Deccan Chargers,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2009,Abhinav Kumar,,,,,,,,
2009,Adam Gilchrist,281.5,16,0,0,54,29,10,8
2009,Andrew Symonds,169,8,7,66,15,11,1,0
2009,Arjun Yadav,,,,,,,,
2009,Azhar Bilakhia,12.5,6,0,0,5,0,0,0
2009,Chamara Silva,,,,,,,,
2009,Chaminda Vaas,44,2,4,24,1,1,0,0
2009,Doddapaneni Kalyankrishna,,,,,,,,
2009,Dwaraka Ravi Teja,27.5,9,0,0,7,0,4,0
2009,Dwayne Smith,116,8,1,30,12,15,0,0
2009,Fidel Edwards,,,,,,,,
2009,Halhadar Das,,,,,,,,
2009,Harmeet Singh,,,,,,,,
2009,Herschelle Gibbs,149.5,14,0,0,32,12,11,0
2009,Jaskaran Singh,8,2,0,8,0,0,0,0
2009,Kemar Roach,,,,,,,,
2009,Manvinder Bisla,,,,,,,,
2009,Mitchell Marsh,,,,,,,,
2009,Nuwan Zoysa,,,,,,,,
2009,PM Sarvesh Kumar,,,,,,,,
2009,Paidikalva Vijaykumar,,,,,,,,
2009,Pragyan Ojha,176,15,18,108,0,0,2,0
2009,R. P. Singh,261.5,16,23,171,0,0,4,0
2009,Rahul Sharma,,,,,,,,
2009,Rohit Sharma,208,16,11,39,22,18,5,0
2009,Ryan Harris,117.5,8,6,84,0,0,5,0
2009,Scott Styris,42,2,5,21,0,1,0,0
2009,Shoaib Ahmed,52.5,7,5,35,0,0,0,0
2009,Tirumalasetti Suman,126.5,12,5,31,18,8,2,0
2009,V.V.S. Laxman,8.5,5,0,0,1,1,1,0
2009,Yalaka Venugopal Rao,85,16,4,28,6,3,7,0
