Season,Rajasthan Royals,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2009,Abdulahad Malek,,,,,,,,
2009,Abhishek Raut,34.5,9,0,4,5,3,3,0
2009,Aditya Angle,,,,,,,,
2009,Aditya Dole,,,,,,,,
2009,Amit Singh,87.5,5,9,56,0,0,0,0
2009,Anup Revandkar,,,,,,,,
2009,Ashraf Makda,,,,,,,,
2009,Atul Sharma,,,,,,,,
2009,Dimitri Mascarenhas,91.5,5,6,58,4,0,1,0
2009,Dinesh Salunkhe,,,,,,,,
2009,Faiz Fazal,,,,,,,,
2009,Gajendra Singh,,,,,,,,
2009,Graeme Smith,78.5,12,0,0,27,1,3,0
2009,Johan Botha,53,3,3,30,5,0,0,0
2009,Justin Langer,,,,,,,,
2009,Kamran Khan,70,5,6,39,0,0,4,0
2009,Lee Carseldine,45,5,1,4,11,0,4,0
2009,Mahesh Rawat,20,5,0,0,1,0,6,1
2009,Mohammad Kaif,,,,,,,,
2009,Mohammed Arif,,,,,,,,
2009,Morne Morkel,25,2,0,20,1,0,1,0
2009,Munaf Patel,184,11,16,108,5,0,3,0
2009,Naman Ojha,81,8,0,0,11,11,2,4
2009,Niraj Patel,12.5,4,0,0,1,0,4,0
2009,Parag More,,,,,,,,
2009,Paras Dogra,,,,,,,,
2009,Paul Valthaty,2.5,2,0,0,1,0,0,0
2009,Pushkaraj Chavan,,,,,,,,
2009,Raiphi Gomez,,,,,,,,
2009,Ravindra Jadeja,148.5,13,6,44,21,6,4,0
2009,Rob Quiney,43,7,0,0,12,3,1,0
2009,Shane Warne,203,13,14,110,6,4,6,0
2009,Shane Watson,,,,,,,,
2009,Shaun Tait,,,,,,,,
2009,Shrideep Mangela,,,,,,,,
2009,Siddharth Chitnis,2.5,1,0,0,1,0,0,0
2009,Siddharth Trivedi,69,7,6,43,0,0,2,0
2009,Swapnil Asnodkar,44,8,0,0,11,4,1,0
2009,Tyron Henderson,21,2,1,14,0,1,0,0
2009,Yusuf Pathan,214.5,13,7,83,24,12,2,0
