Season,Deccan Chargers,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2010,Adam Gilchrist,166.0,16.0,0.0,0.0,31.0,16.0,9.0,4.0
2010,Andrew Symonds,329.5,16.0,12.0,107.0,35.0,18.0,12.0,0.0
2010,Anirudh Singh,33.5,5.0,0.0,0.0,6.0,1.0,6.0,0.0
2010,Arjun Yadav,,,,,,,,
2010,Ashish Reddy,,,,,,,,
2010,Azhar Bilakhia,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2010,Bodapati Sumanth,17.5,5.0,0.0,0.0,3.0,0.0,4.0,0.0
2010,Chaminda Vaas,100.5,6.0,9.0,63.0,1.0,1.0,0.0,0.0
2010,Dwaraka Ravi Teja,,,,,,,,
2010,Dwayne Smith,15.5,3.0,1.0,6.0,1.0,1.0,0.0,0.0
2010,Fidel Edwards,,,,,,,,
2010,Harmeet Singh,88.0,8.0,8.0,60.0,0.0,0.0,0.0,0.0
2010,Herschelle Gibbs,111.5,10.0,0.0,0.0,26.0,9.0,6.0,0.0
2010,Kemar Roach,25.0,2.0,0.0,20.0,1.0,0.0,1.0,0.0
2010,Mitchell Marsh,37.0,3.0,2.0,24.0,1.0,1.0,0.0,0.0
2010,Mohnish Mishra,68.5,11.0,0.0,0.0,18.0,6.0,1.0,0.0
2010,Pragyan Ojha,217.5,16.0,21.0,134.0,0.0,0.0,4.0,0.0
2010,R. P. Singh,147.0,12.0,13.0,99.0,0.0,0.0,1.0,0.0
2010,Rahul Sharma,68.5,6.0,5.0,40.0,3.0,1.0,0.0,0.0
2010,Rohit Sharma,201.5,16.0,2.0,33.0,36.0,14.0,9.0,0.0
2010,Ryan Harris,155.5,8.0,14.0,82.0,2.0,2.0,5.0,0.0
2010,Scott Styris,,,,,,,,
2010,Tirumalasetti Suman,109.0,14.0,0.0,2.0,23.0,12.0,3.0,0.0
2010,V.V.S. Laxman,26.0,6.0,0.0,0.0,7.0,1.0,2.0,0.0
2010,Yalaka Venugopal Rao,14.5,6.0,0.0,1.0,3.0,1.0,1.0,0.0
