Season,Delhi Daredevils,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2010,AB de Villiers,32.5,7.0,0.0,0.0,7.0,0.0,6.0,0.0
2010,Aavishkar Salvi,,,,,,,,
2010,Amit Mishra,203.0,14.0,17.0,131.0,1.0,0.0,4.0,0.0
2010,Andrew McDonald,53.0,4.0,5.0,21.0,3.0,2.0,0.0,0.0
2010,Ashish Nehra,71.5,4.0,6.0,37.0,2.0,1.0,2.0,0.0
2010,Daniel Vettori,38.0,3.0,2.0,21.0,4.0,0.0,0.0,0.0
2010,David Warner,136.5,11.0,0.0,0.0,27.0,14.0,8.0,0.0
2010,Dinesh Karthik,116.0,14.0,0.0,0.0,26.0,6.0,6.0,6.0
2010,Dirk Nannes,118.5,9.0,7.0,89.0,0.0,0.0,2.0,0.0
2010,Farveez Maharoof,96.5,7.0,8.0,54.0,2.0,2.0,1.0,0.0
2010,Gautam Gambhir,94.5,11.0,0.0,0.0,32.0,2.0,3.0,0.0
2010,Joginder Singh,,,,,,,,
2010,Kedar Jadhav,24.5,5.0,0.0,0.0,7.0,2.0,0.0,0.0
2010,Mithun Manhas,47.5,9.0,0.0,0.0,14.0,0.0,5.0,0.0
2010,Moises Henriques,21.0,1.0,1.0,10.0,2.0,0.0,1.0,0.0
2010,Paul Collingwood,119.5,8.0,5.0,24.0,9.0,13.0,4.0,0.0
2010,Pradeep Sangwan,104.0,8.0,9.0,70.0,0.0,0.0,1.0,0.0
2010,Rajat Bhatia,45.5,5.0,3.0,23.0,1.0,2.0,1.0,0.0
2010,Sarabjit Ladda,48.0,5.0,4.0,34.0,0.0,0.0,0.0,0.0
2010,Sarandeep Singh,,,,,,,,
2010,Shashi Ranjan,,,,,,,,
2010,Sumit Narwal,56.0,5.0,5.0,31.0,2.0,0.0,1.0,0.0
2010,Tillakaratne Dilshan,53.5,6.0,3.0,18.0,6.0,0.0,4.0,0.0
2010,Umesh Yadav,78.5,7.0,6.0,55.0,0.0,0.0,1.0,0.0
2010,Virender Sehwag,200.0,14.0,3.0,18.0,47.0,14.0,2.0,0.0
2010,Wayne Parnell,,,,,,,,
2010,Yo Mahesh,8.5,1.0,1.0,5.0,0.0,0.0,0.0,0.0
2010,Yogesh Nagar,,,,,,,,
