Season,Royal Challengers Bangalore,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2010,Abhimanyu Mithun,8.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0
2010,Anil Kumble,218.0,16.0,17.0,151.0,0.0,0.0,3.0,0.0
2010,Balachandra Akhil,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2010,Bhuvneshwar Kumar,,,,,,,,
2010,CM Gautam,,,,,,,,
2010,Cameron White,30.0,7.0,0.0,2.0,3.0,3.0,4.0,0.0
2010,Dale Steyn,224.0,15.0,15.0,164.0,2.0,0.0,1.0,0.0
2010,Dillon du Preez,,,,,,,,
2010,Eoin Morgan,18.5,6.0,0.0,0.0,2.0,1.0,4.0,0.0
2010,Jacques Kallis,380.0,16.0,13.0,118.0,67.0,9.0,7.0,0.0
2010,Jesse Ryder,,,,,,,,
2010,KP Appanna,18.5,2.0,1.0,15.0,0.0,0.0,0.0,0.0
2010,Kevin Pietersen,121.5,7.0,3.0,18.0,23.0,8.0,3.0,0.0
2010,Manish Pandey,109.5,13.0,0.0,0.0,27.0,7.0,7.0,0.0
2010,Mark Boucher,16.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0
2010,Pankaj Singh,28.0,2.0,2.0,21.0,0.0,0.0,0.0,0.0
2010,Praveen Kumar,145.0,12.0,10.0,110.0,0.0,0.0,0.0,0.0
2010,Rahul Dravid,105.5,16.0,0.0,0.0,34.0,3.0,4.0,0.0
2010,Robin Uthappa,172.0,16.0,0.0,0.0,21.0,27.0,7.0,3.0
2010,Roelof van der Merwe,17.5,1.0,2.0,8.0,0.0,0.0,1.0,0.0
2010,Ross Taylor,36.0,7.0,0.0,0.0,2.0,6.0,4.0,0.0
2010,Shreevats Goswami,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
2010,Sridharan Sriram,9.5,1.0,0.0,2.0,3.0,0.0,0.0,0.0
2010,Steve Smith,,,,,,,,
2010,Vinay Kumar,169.5,14.0,16.0,101.0,1.0,0.0,4.0,0.0
2010,Virat Kohli,121.5,16.0,0.0,7.0,26.0,12.0,3.0,0.0
