Season,Rajasthan Royals,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2010,Aaron Finch,6.5,1.0,0.0,3.0,0.0,1.0,0.0,0.0
2010,Abhishek Jhunjhunwala,76.0,13.0,0.0,12.0,16.0,4.0,4.0,0.0
2010,Abhishek Raut,23.0,6.0,0.0,0.0,3.0,3.0,2.0,0.0
2010,Adam Voges,65.5,9.0,0.0,15.0,15.0,3.0,1.0,0.0
2010,Aditya Dole,54.5,3.0,5.0,21.0,3.0,1.0,2.0,0.0
2010,Amit Paunikar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,Amit Singh,,,,,,,,
2010,Amit Uniyal,15.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0
2010,Damien Martyn,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2010,Dimitri Mascarenhas,30.0,2.0,4.0,16.0,0.0,0.0,0.0,0.0
2010,Faiz Fazal,67.0,10.0,0.0,1.0,19.0,1.0,6.0,0.0
2010,Graeme Smith,22.5,2.0,0.0,0.0,7.0,0.0,2.0,0.0
2010,Johan Botha,,,,,,,,
2010,Kamran Khan,28.5,3.0,3.0,18.0,0.0,0.0,0.0,0.0
2010,Michael Lumb,143.5,11.0,0.0,0.0,45.0,6.0,4.0,0.0
2010,Morne Morkel,20.0,2.0,0.0,15.0,1.0,0.0,1.0,0.0
2010,Munaf Patel,44.0,4.0,3.0,31.0,0.0,0.0,1.0,0.0
2010,Naman Ojha,172.5,14.0,0.0,0.0,42.0,15.0,4.0,2.0
2010,Raiphi Gomez,,,,,,,,
2010,Shane Warne,137.5,14.0,11.0,94.0,0.0,0.0,2.0,0.0
2010,Shane Watson,166.0,6.0,6.0,61.0,18.0,9.0,3.0,0.0
2010,Shaun Tait,118.5,8.0,10.0,70.0,0.0,1.0,4.0,0.0
2010,Shrikant Wagh,5.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0
2010,Siddharth Trivedi,121.0,11.0,11.0,69.0,3.0,1.0,1.0,0.0
2010,Swapnil Asnodkar,2.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2010,Syed Quadri,,,,,,,,
2010,Yusuf Pathan,239.0,14.0,5.0,60.0,22.0,24.0,9.0,0.0
