Season,Delhi Daredevils,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,AB de Villiers,23.5,6,0,0,5,1,3,0
2008,Amit Mishra,92,6,11,41,3,0,2,0
2008,Brett Geeves,26,2,1,15,0,0,3,0
2008,Daniel Vettori,23,2,2,16,0,0,0,0
2008,Dinesh Karthik,66.5,13,0,0,13,4,6,2
2008,Farveez Maharoof,193.5,10,15,84,10,7,3,0
2008,Gautam Gambhir,203,14,0,0,68,8,2,0
2008,Glenn McGrath,203.5,14,12,154,1,0,2,0
2008,Manoj Tiwary,47.5,9,0,0,16,0,3,0
2008,Mayank Tehlan,,,,,,,,
2008,Mithun Manhas,2.5,1,0,0,0,0,1,0
2008,Mohammad Asif,94.5,8,8,64,0,0,1,0
2008,Pradeep Sangwan,67,7,5,47,0,0,1,0
2008,Rajat Bhatia,83.5,9,6,48,2,2,1,0
2008,Shikhar Dhawan,135.5,14,0,0,35,8,8,0
2008,Shoaib Malik,47,7,2,15,5,0,5,0
2008,Sumit Narwal,,,,,,,,
2008,Tejashwi Yadav,,,,,,,,
2008,Tillakaratne Dilshan,69.5,7,1,3,14,3,7,0
2008,Virender Sehwag,224.5,14,3,18,46,21,3,0
2008,Yo Mahesh,162.5,11,16,94,0,0,5,0
2008,Yogesh Nagar,,,,,,,,
