Season,Kings XI Punjab,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,Ajitesh Argal,,,,,,,,
2008,Azhar Mehmood,,,,,,,,
2008,Brett Lee,74,4,4,44,2,1,3,0
2008,Fidel Edwards,,,,,,,,
2008,Gagandeep Singh,,,,,,,,
2008,Irfan Pathan,259,14,15,153,9,6,4,0
2008,James Hopes,180.5,11,7,53,27,8,3,0
2008,Karan Goel,38.5,7,0,2,7,4,2,0
2008,Kumar Sangakkara,140.5,10,0,0,41,8,4,0
2008,Kyle Mills,,,,,,,,
2008,Luke Pomersbach,66.5,5,0,0,13,9,1,0
2008,Mahela Jayawardene,69.5,13,0,0,15,7,3,0
2008,Nitin Saini,,,,,,,,
2008,Pankaj Dharmani,,,,,,,,
2008,Piyush Chawla,222,15,17,112,10,3,6,0
2008,Ramesh Powar,59,5,3,30,4,1,2,0
2008,Ramnaresh Sarwan,21,4,0,0,6,1,1,0
2008,Rishi Dhawan,,,,,,,,
2008,Sahil Kukreja,,,,,,,,
2008,Shaun Marsh,246,11,0,0,59,26,3,0
2008,Simon Katich,34.5,2,0,0,11,2,0,0
2008,Sreesanth,204.5,15,19,133,0,0,2,0
2008,Sunny Sohal,0,2,0,0,0,0,0,0
2008,Tanmay Srivastava,5,5,0,0,0,0,2,0
2008,Uday Kaul,5,5,0,0,0,0,2,0
2008,V. R. V. Singh,136,13,11,95,1,0,0,0
2008,Wilkin Mota,16.5,4,1,3,2,0,2,0
2008,Yuvraj Singh,171,15,3,14,24,19,8,0
