Season,Royal Challengers Bangalore,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,Abdur Razzak,5,1,0,5,0,0,0,0
2008,Anil Kumble,122,10,7,85,1,0,4,0
2008,Ashley Noffke,12,1,1,6,1,0,0,0
2008,Balachandra Akhil,71.5,7,2,34,4,3,4,0
2008,Bharat Chipli,10,3,0,0,3,0,1,0
2008,Cameron White,41.5,8,0,0,8,4,3,0
2008,Dale Steyn,161,10,10,116,0,0,4,0
2008,Devraj Patil,7.5,2,0,0,1,0,2,0
2008,Jacques Kallis,148,11,4,55,23,4,3,0
2008,Jagadeesh Arunkumar,12.5,3,0,0,5,0,0,0
2008,KP Appanna,,,,,,,,
2008,Mark Boucher,91,10,0,0,24,6,3,1
2008,Misbah-ul-Haq,48.5,8,0,0,10,6,1,0
2008,Nathan Bracken,,,,,,,,
2008,Neravanda Aiyappa,,,,,,,,
2008,Praveen Kumar,198.5,13,11,109,10,6,2,0
2008,Rahul Dravid,131,14,0,0,35,11,2,0
2008,Ross Taylor,67.5,4,0,0,13,10,0,0
2008,Shivnarine Chanderpaul,10,3,0,0,4,0,0,0
2008,Shreevats Goswami,36,4,0,0,9,1,2,2
2008,Sunil Joshi,21.5,4,1,18,0,0,0,0
2008,Vinay Kumar,95,8,5,59,2,1,4,0
2008,Virat Kohli,78,13,2,7,18,4,2,0
2008,Wasim Jaffer,48,6,0,0,12,3,3,0
2008,Zaheer Khan,158,11,13,100,4,0,1,0
