Season,Delhi Daredevils
2013,Yalaka Venugopal Rao
2013,Virender Sehwag
2013,Yogesh Nagar
2013,Ajit Agarkar
2013,Siddarth Kaul
2013,Irfan Pathan
2013,Mahela Jayawardene
2013,Ashish Nehra
2013,Bharat Chipli
2013,Morne Morkel
2013,Aavishkar Salvi
2013,David Warner
2013,Umesh Yadav
2013,CM Gautam
2013,Jesse Ryder
2013,Kedar Jadhav
2013,Kevin Pietersen
2013,Roelof van der Merwe
2013,Johan Botha
2013,Naman Ojha
2013,Varun Aaron
2013,Robin BistX
2013,Shahbaz Nadeem
2013,Unmukt Chand
2013,Andre Russell
2013,Gulam Bodi
2013,Manpreet Juneja
2013,Pawan Negi
2013,Puneet Bisht
2013,Sunny Gupta
2013,Sujit Nayak
2013,Arisht Singhvi
2013,Ben Rohrer
2013,Jeevan Mendis
2013,Royston Dias
