Season,Kings XI Punjab
2013,Manpreet Gony
2013,Adam Gilchrist
2013,David Hussey
2013,Azhar Mehmood
2013,Luke Pomersbach
2013,Nitin Saini
2013,Piyush Chawla
2013,Ramesh Powar
2013,Shaun Marsh
2013,Siddharth Chitnis
2013,Praveen Kumar
2013,Dimitri Mascarenhas
2013,Ryan Harris
2013,Paul Valthaty
2013,Mandeep Singh
2013,Bipul Sharma
2013,Rajagopal Sathish
2013,Bhargav Bhatt
2013,David Miller
2013,Manan Vohra
2013,Sunny Singh
2013,Gurkeerat Singh
2013,Parvinder Awana
2013,Aniket Choudhary
2013,Michael Neser
2013,Sandeep Sharma
