Season,Rajasthan Royals
2013,Brad Hodge
2013,Fidel Edwards
2013,Sreesanth
2013,Ajinkya Rahane
2013,Ankeet Chavan
2013,Rahul Dravid
2013,Shreevats Goswami
2013,Abhishek Raut
2013,Shane Watson
2013,Siddharth Trivedi
2013,Harmeet Singh
2013,Owais Shah
2013,Vikramjeet Malik
2013,Aditya Dole
2013,Amit Singh
2013,Shaun Tait
2013,Rahul Shukla
2013,Stuart Binny
2013,Ajit Chandila
2013,James Faulkner
2013,Ashok Menaria
2013,Deepak Chahar
2013,Dishant Yagnik
2013,Samad Fallah
2013,Sanju Samson
2013,Brad Hogg
2013,Kevon Cooper
2013,Samuel Badree
2013,Kumar Boresa
2013,Kusal Perera
2013,Pravin Tambe
2013,Sachin Baby
