Season,Pune Warriors India
2013,Mohnish Mishra
2013,Mithun Manhas
2013,Ajantha Mendis
2013,Ashok Dinda
2013,Yuvraj Singh
2013,Abhishek Nayar
2013,Manish Pandey
2013,Robin Uthappa
2013,Ross Taylor
2013,Mahesh Rawat
2013,Mitchell Marsh
2013,Rahul Sharma
2013,Tirumalasetti Suman
2013,Wayne Parnell
2013,Angelo Mathews
2013,Bhuvneshwar Kumar
2013,Raiphi Gomez
2013,Ali Murtaza
2013,Steve Smith
2013,Aaron Finch
2013,Shrikant Wagh
2013,Dheeraj Jadhav
2013,Eklavya Dwivedi
2013,Harpreet Singh
2013,Anustup Majumdar
2013,Krishnakant Upadhyay
2013,Luke Wright
2013,Marlon Samuels
2013,Michael Clarke
2013,Tamim Iqbal
2013,Ishwar Pandey
2013,Kane Richardson
2013,Parvez Rasool
2013,Udit Birla
