Season,Royal Challengers Bangalore
2013,Abhinav Mukund
2013,KB Arun Karthik
2013,Muttiah Muralitharan
2013,R. P. Singh
2013,AB de Villiers
2013,Daniel Vettori
2013,Tillakaratne Dilshan
2013,Cheteshwar Pujara
2013,Chris Gayle
2013,Murali Kartik
2013,Sunny Sohal
2013,Saurabh Tiwary
2013,KP Appanna
2013,Vinay Kumar
2013,Virat Kohli
2013,Zaheer Khan
2013,Pankaj Singh
2013,Andrew McDonald
2013,Moises Henriques
2013,Abhimanyu Mithun
2013,Sreenath Aravind
2013,Jaydev Unadkat
2013,Daniel Christian
2013,Prasanth Parameswaran
2013,Mayank Agarwal
2013,Rilee Rossouw
2013,Syed Mohammed
2013,Harshal Patel
2013,Karun Nair
2013,Vijay Zol
2013,Chris Barnwell
2013,KL Rahul
2013,Ravi Rampaul
2013,Sandeep Warrier
2013,Sheldon Jackson
