Season,Mumbai Indians
2013,Jacob Oram
2013,Pragyan Ojha
2013,Rohit Sharma
2013,Dinesh Karthik
2013,Ricky Ponting
2013,Rishi Dhawan
2013,Dhawal Kulkarni
2013,Dwayne Smith
2013,Harbhajan Singh
2013,Lasith Malinga
2013,Sachin Tendulkar
2013,Munaf Patel
2013,Abu Nechim Ahmed
2013,Aditya Tare
2013,Ambati Rayudu
2013,Kieron Pollard
2013,Sushant Marathe
2013,Aiden Blizzard
2013,James Franklin
2013,Pawan Suyal
2013,Suryakumar Yadav
2013,Yuzvendra Chahal
2013,Glenn Maxwell
2013,Amitoze Singh
2013,Mitchell Johnson
2013,Axar Patel
2013,Jalaj Saxena
2013,Jasprit Bumrah
2013,Javed Khan
2013,Nathan Coulter-Nile
2013,Phillip Hughes
