Season,Kolkata Knight Riders
2013,Lakshmipathy Balaji
2013,Gautam Gambhir
2013,Manoj Tiwary
2013,Pradeep Sangwan
2013,Rajat Bhatia
2013,Sumit Narwal
2013,Brendon McCullum
2013,Debabrata Das
2013,Iqbal Abdulla
2013,Laxmi Ratan Shukla
2013,Mashrafe Mortaza
2013,Brett Lee
2013,Jacques Kallis
2013,Yusuf Pathan
2013,Manvinder Bisla
2013,Ryan McLaren
2013,Eoin Morgan
2013,Sarabjit Ladda
2013,Brad Haddin
2013,James Pattinson
2013,Mohammed Shami
2013,Ryan ten Doeschate
2013,Shakib Al Hasan
2013,Marchant de Lange
2013,Sunil Narine
2013,Sachithra Senanayake
