Season,Chennai Super Kings
2013,Albie Morkel
2013,Anirudha Srikkanth
2013,Mahendra Singh Dhoni
2013,Mike Hussey
2013,Ravichandran Ashwin
2013,Shadab Jakati
2013,Subramaniam Badrinath
2013,Suresh Raina
2013,Wriddhiman Saha
2013,Dwayne Bravo
2013,Ravindra Jadeja
2013,Murali Vijay
2013,Dirk Nannes
2013,Ben Hilfenhaus
2013,Francois du Plessis
2013,Nuwan Kulasekara
2013,Imtiaz Ahmed
2013,Akila Dananjaya
2013,Ankit Rajpoot
2013,Baba Aparajith
2013,Ben Laughlin
2013,Chris Morris
2013,Jason Holder
2013,Mohit Sharma
2013,R. Karthikeyan
2013,Ronit More
2013,Vijay Shankar
