Season,Sunrisers Hyderabad,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2015,Ashish Reddy,47.0,6.0,3.0,9.0,3.0,5.0,1.0,0.0
2015,Bhuvneshwar Kumar,210.0,14.0,18.0,126.0,2.0,1.0,5.0,0.0
2015,Bipul Sharma,27.5,4.0,3.0,17.0,0.0,0.0,0.0,0.0
2015,Chama Milind,,,,,,,,
2015,Dale Steyn,61.0,6.0,3.0,38.0,3.0,0.0,2.0,0.0
2015,David Warner,256.0,14.0,0.0,0.0,65.0,21.0,8.0,0.0
2015,Eoin Morgan,78.5,9.0,0.0,0.0,11.0,11.0,5.0,0.0
2015,Hanuma Vihari,20.0,5.0,0.0,0.0,6.0,0.0,2.0,0.0
2015,Ishant Sharma,33.5,4.0,1.0,30.0,0.0,0.0,0.0,0.0
2015,KL Rahul,40.0,9.0,0.0,0.0,8.0,5.0,1.0,0.0
2015,Kane Williamson,11.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0
2015,Karn Sharma,138.5,14.0,10.0,65.0,3.0,6.0,4.0,0.0
2015,Kevin Pietersen,,,,,,,,
2015,Laxmi Ratan Shukla,,,,,,,,
2015,Moises Henriques,191.0,9.0,11.0,57.0,19.0,13.0,1.0,0.0
2015,Naman Ojha,61.5,14.0,0.0,0.0,12.0,4.0,6.0,1.0
2015,Padmanabhan Prasanth,,,,,,,,
2015,Parvez Rasool,15.5,2.0,1.0,12.0,0.0,0.0,0.0,0.0
2015,Praveen Kumar,105.5,12.0,7.0,71.0,1.0,0.0,3.0,0.0
2015,Ravi Bopara,99.0,9.0,6.0,37.0,6.0,6.0,2.0,0.0
2015,Ricky Bhui,,,,,,,,
2015,Shikhar Dhawan,148.5,14.0,0.0,0.0,45.0,6.0,6.0,0.0
2015,Siddarth Kaul,,,,,,,,
2015,Trent Boult,107.5,7.0,9.0,71.0,0.0,0.0,2.0,0.0
