,Avg_Balls
MJ McClenaghan,2.606806662
MK Lomror,7.027481691
MK Pandey,13.27696772
MK Tiwary,8.842617057
ML Hayden,11.91863245
MM Ali,5.332319009
MM Patel,4.778509139
MM Sharma,3.347172092
MN Samuels,5.341136858
MN van Wyk,5.827231557
MP Stoinis,7.13091082
MR Marsh,8.113041683
MS Bisla,11.8636404
MS Dhoni,15.0820028
MS Gony,4.996452509
MS Wade,7.846689097
MV Boucher,6.209848863
Mandeep Singh,8.50662792
Misbah-ul-Haq,6.030925457
Mohammad Ashraful,6.5821401
Mohammad Asif,7.820057687
Mohammad Hafeez,4.514780259
Mohammad Nabi,7.487283169
Mohammed Shami,6.18949006
Mohammed Siraj,6.667947164
Mujeeb Ur Rahman,4.902785071
Mustafizur Rahman,7.969577753
N Pooran,4.611782246
N Rana,9.714052877
N Saini,7.679475796
NA Saini,8.825985284
NJ Maddinson,6.779912154
NJ Rimmington,7.755420129
NL McCullum,5.105762023
NLTC Perera,4.268066225
NM Coulter-Nile,4.755597493
NS Naik,8.179119147
NV Ojha,9.043285109
Niraj Patel,5.642374594
OA Shah,9.549088146
P Dogra,5.662790051
P Kumar,5.197673789
P Negi,6.685089222
P Sahu,7.293109509
P Simran Singh,6.82354479
PA Patel,12.37875639
PA Reddy,4.630920374
PC Valthaty,8.342945981
PD Collingwood,6.221320622
PJ Cummins,4.297945363
PJ Sangwan,3.442515546
PP Chawla,5.64788276
PP Ojha,3.693529956
PP Shaw,8.202416006
PR Shah,6.03307336
PSP Handscomb,7.437374226
PV Tambe,6.316189591
Pankaj Singh,4.000174802
Parvez Rasool,6.791314367
Q de Kock,13.08812783
R Ashwin,4.811190143
R Bhatia,7.166742025
R Bishnoi,8.394295596
R Dhawan,5.150618619
R Dravid,14.84011326
R McLaren,4.947266496
R Ninan,6.745940745
R Parag,7.43378435
R Rampaul,4.259135752
R Sathish,5.985066788
R Sharma,4.843013107
R Shukla,4.095922321
R Tewatia,5.485436387
R Vinay Kumar,4.716631577
RA Jadeja,10.03366863
RA Tripathi,8.735170717
RD Chahar,7.004412334
RE Levi,7.814257899
RE van der Merwe,1.619584688
RG Sharma,13.09194003
RJ Harris,4.972758562
RJ Peterson,6.80310566
RJ Quiney,6.642672847
RK Bhui,7.207410543
RK Singh,6.087252145
RN ten Doeschate,6.688531009
RP Singh,3.631723586
RR Pant,9.333910252
RR Powar,4.874478652
RR Rossouw,6.444444667
RR Sarwan,4.912835762
RS Bopara,9.372744416
RS Gavaskar,7.695789075
RT Ponting,5.973275201
RV Gomez,5.279884332
RV Uthappa,18.42014922
Rashid Khan,4.086713235
S Anirudha,5.793420798
S Aravind,4.02944513
S Badree,6.63650089
S Badrinath,10.25787568
S Chanderpaul,7.231469314
S Dhawan,14.44339645
S Dube,8.45664434
S Gopal,5.852862845
S Kaul,5.160118179
S Nadeem,4.530457841
S Narwal,7.805192465
S Rana,4.597937332
S Sohal,7.669328443
S Sreesanth,4.798898879
S Sriram,6.435263049
S Vidyut,8.067317149
SA Abbott,7.056659116
SA Asnodkar,7.536209951
SA Yadav,11.21750326
SB Bangar,5.741181311
SB Jakati,5.722733728
SB Joshi,7.190676383
SB Styris,5.337843113
SB Wagh,8.23513217
SC Ganguly,11.68741821
SD Chitnis,6.384436445
SD Lad,7.91391656
SE Marsh,11.02769947
SE Rutherford,4.847299412
SK Raina,16.37807207
SK Trivedi,4.148524372
SK Warne,3.623701747
SL Malinga,4.902968501
SM Curran,8.61611232
SM Harwood,4.266840656
SM Katich,5.363823577
SM Pollock,5.876164926
SMSM Senanayake,5.600529286
SN Khan,6.822730937
SN Thakur,6.414935879
SO Hetmyer,5.908007629
SP Fleming,6.992039911
SP Goswami,8.899025216
SP Jackson,4.490537823
SP Narine,7.351519177
SPD Smith,11.97032041
SR Tendulkar,13.94373371
SR Watson,13.06958279
SS Iyer,12.45201662
SS Tiwary,8.422351048
ST Jayasuriya,10.37064855
STR Binny,6.62136367
SV Samson,14.20564485
SW Billings,5.406689328
Sachin Baby,3.811668164
Salman Butt,8.51260327
Sandeep Sharma,5.724427141
Shahid Afridi,5.924159608
Shakib Al Hasan,6.086616946
Shivam Mavi,6.675915613
Shivam Sharma,9.89187403
Shoaib Ahmed,7.72885052
Shoaib Akhtar,7.316008042
Shoaib Malik,4.495298705
Shubman Gill,7.583598675
Sohail Tanvir,5.512446078
Sunny Singh,3.920502947
Swapnil Singh,4.692667086
T Henderson,5.412224339
T Kohli,4.928544235
T Taibu,5.744872361
T Thushara,5.49746942
TA Boult,3.357864619
TD Paine,4.83961169
TG Southee,4.149550478
TK Curran,2.443667513
TL Suman,6.926530159
TM Dilshan,10.5070231
TM Head,6.411935479
TM Srivastava,4.831517017
TR Birt,6.213347785
TS Mills,7.339481887
UA Birla,7.390302128
UBT Chand,6.919911709
UT Khawaja,6.676997521
UT Yadav,5.562132374
Umar Gul,9.108365435
V Kohli,20.3518219
V Sehwag,11.1601621
V Shankar,6.918462701
VH Zol,5.437149445
VR Aaron,5.930848462
VRV Singh,6.36952201
VS Malik,5.736180034
VVS Laxman,7.823003978
Vishnu Vinod,5.007336023
W Jaffer,9.547415377
WA Mota,3.601245521
WD Parnell,5.034661134
