Team1,Team2,inning_1,inning_2
Kings XI Punjab,Royal Challengers Bangalore,115,118
Royal Challengers Bangalore,Sunrisers Hyderabad,121,123
Delhi Daredevils,Sunrisers Hyderabad,110,123
Gujarat Lions,Sunrisers Hyderabad,108,122
Chennai Super Kings,Sunrisers Hyderabad,117,109
Kolkata Knight Riders,Sunrisers Hyderabad,108,119
Deccan Chargers,Royal Challengers Bangalore,125,115
Rising Pune Supergiant,Sunrisers Hyderabad,112,120
Rajasthan Royals,Sunrisers Hyderabad,124,120
Kings XI Punjab,Sunrisers Hyderabad,100,121
Sunrisers Hyderabad,Royal Challengers Bangalore,6,118
