Season,Chennai Super Kings,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2013,Akila Dananjaya,,,,,,,,
2013,Albie Morkel,104.0,8.0,7.0,59.0,2.0,3.0,2.0,0.0
2013,Anirudha Srikkanth,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Ankit Rajpoot,11.5,2.0,1.0,8.0,0.0,0.0,0.0,0.0
2013,Baba Aparajith,,,,,,,,
2013,Ben Hilfenhaus,,,,,,,,
2013,Ben Laughlin,12.5,2.0,1.0,9.0,0.0,0.0,0.0,0.0
2013,Chris Morris,178.0,16.0,15.0,113.0,0.0,0.0,5.0,0.0
2013,Dirk Nannes,71.5,5.0,4.0,50.0,0.0,0.0,3.0,0.0
2013,Dwayne Bravo,320.0,18.0,32.0,135.0,11.0,3.0,14.0,0.0
2013,Francois du Plessis,,,,,,,,
2013,Imtiaz Ahmed,,,,,,,,
2013,Jason Holder,61.5,6.0,2.0,47.0,0.0,0.0,3.0,0.0
2013,Mahendra Singh Dhoni,210.0,18.0,0.0,0.0,32.0,25.0,15.0,2.0
2013,Mike Hussey,287.0,17.0,0.0,0.0,81.0,17.0,10.0,0.0
2013,Mohit Sharma,236.0,15.0,20.0,161.0,0.0,0.0,2.0,0.0
2013,Murali Vijay,115.5,15.0,0.0,0.0,27.0,8.0,8.0,0.0
2013,Nuwan Kulasekara,,,,,,,,
2013,R. Karthikeyan,,,,,,,,
2013,Ravichandran Ashwin,193.5,18.0,15.0,121.0,4.0,0.0,4.0,0.0
2013,Ravindra Jadeja,219.0,18.0,13.0,95.0,17.0,6.0,6.0,0.0
2013,Ronit More,,,,,,,,
2013,Shadab Jakati,,,,,,,,
2013,Subramaniam Badrinath,30.0,18.0,0.0,0.0,11.0,0.0,1.0,0.0
2013,Suresh Raina,218.5,18.0,1.0,2.0,50.0,18.0,10.0,0.0
2013,Vijay Shankar,,,,,,,,
2013,Wriddhiman Saha,29.0,3.0,0.0,0.0,6.0,4.0,0.0,0.0
