Season,Kings XI Punjab,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2013,Adam Gilchrist,158.0,13.0,1.0,1.0,41.0,6.0,12.0,0.0
2013,Aniket Choudhary,,,,,,,,
2013,Azhar Mehmood,,,,,,,,
2013,Bhargav Bhatt,15.5,2.0,1.0,12.0,0.0,0.0,0.0,0.0
2013,Bipul Sharma,14.5,1.0,1.0,11.0,0.0,0.0,0.0,0.0
2013,David Hussey,100.0,12.0,0.0,19.0,20.0,6.0,4.0,0.0
2013,David Miller,174.0,12.0,0.0,0.0,28.0,24.0,8.0,0.0
2013,Dimitri Mascarenhas,7.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
2013,Gurkeerat Singh,48.0,11.0,0.0,0.0,10.0,3.0,4.0,1.0
2013,Luke Pomersbach,16.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0
2013,Manan Vohra,69.5,12.0,0.0,0.0,22.0,2.0,3.0,0.0
2013,Mandeep Singh,105.0,16.0,0.0,0.0,36.0,0.0,6.0,0.0
2013,Manpreet Gony,107.0,8.0,7.0,62.0,4.0,3.0,0.0,0.0
2013,Michael Neser,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
2013,Nitin Saini,,,,,,,,
2013,Parvinder Awana,188.0,14.0,15.0,133.0,0.0,0.0,1.0,0.0
2013,Paul Valthaty,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Piyush Chawla,181.0,16.0,11.0,117.0,5.0,3.0,1.0,0.0
2013,Praveen Kumar,217.5,15.0,12.0,155.0,3.0,3.0,1.0,0.0
2013,Rajagopal Sathish,41.0,9.0,0.0,1.0,9.0,5.0,0.0,0.0
2013,Ramesh Powar,,,,,,,,
2013,Ryan Harris,43.5,3.0,1.0,40.0,0.0,0.0,0.0,0.0
2013,Sandeep Sharma,69.0,4.0,8.0,41.0,0.0,0.0,0.0,0.0
2013,Shaun Marsh,119.0,8.0,0.0,0.0,39.0,4.0,3.0,0.0
2013,Siddharth Chitnis,,,,,,,,
2013,Sunny Singh,,,,,,,,
