Season,Kolkata Knight Riders,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2013,Brad Haddin,,,,,,,,
2013,Brendon McCullum,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2013,Brett Lee,60.0,3.0,4.0,34.0,1.0,2.0,1.0,0.0
2013,Debabrata Das,35.0,10.0,0.0,0.0,5.0,5.0,2.0,0.0
2013,Eoin Morgan,130.5,14.0,0.0,0.0,28.0,13.0,6.0,0.0
2013,Gautam Gambhir,150.0,16.0,0.0,0.0,51.0,5.0,2.0,0.0
2013,Iqbal Abdulla,65.5,5.0,7.0,41.0,0.0,0.0,0.0,0.0
2013,Jacques Kallis,273.5,16.0,16.0,112.0,35.0,3.0,3.0,0.0
2013,James Pattinson,,,,,,,,
2013,Lakshmipathy Balaji,167.5,13.0,12.0,113.0,1.0,0.0,4.0,0.0
2013,Laxmi Ratan Shukla,15.5,4.0,1.0,7.0,0.0,0.0,2.0,0.0
2013,Manoj Tiwary,58.5,10.0,0.0,0.0,12.0,1.0,10.0,0.0
2013,Manvinder Bisla,136.0,14.0,0.0,0.0,36.0,6.0,7.0,3.0
2013,Marchant de Lange,,,,,,,,
2013,Mashrafe Mortaza,,,,,,,,
2013,Mohammed Shami,24.5,3.0,1.0,21.0,0.0,0.0,0.0,0.0
2013,Pradeep Sangwan,9.5,2.0,0.0,7.0,1.0,0.0,0.0,0.0
2013,Rajat Bhatia,128.0,15.0,11.0,59.0,8.0,3.0,0.0,0.0
2013,Ryan McLaren,30.0,2.0,3.0,17.0,0.0,0.0,1.0,0.0
2013,Ryan ten Doeschate,36.0,4.0,0.0,4.0,9.0,2.0,1.0,0.0
2013,Sachithra Senanayake,109.5,8.0,9.0,73.0,0.0,0.0,2.0,0.0
2013,Sarabjit Ladda,6.5,1.0,1.0,3.0,0.0,0.0,0.0,0.0
2013,Shakib Al Hasan,,,,,,,,
2013,Sumit Narwal,16.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0
2013,Sunil Narine,279.0,16.0,22.0,180.0,0.0,2.0,6.0,0.0
2013,Yusuf Pathan,151.5,16.0,1.0,14.0,30.0,14.0,4.0,0.0
