Season,Mumbai Indians,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2013,Abu Nechim Ahmed,,,,,,,,
2013,Aditya Tare,52.5,5.0,0.0,0.0,14.0,5.0,0.0,0.0
2013,Aiden Blizzard,,,,,,,,
2013,Ambati Rayudu,89.0,19.0,0.0,0.0,22.0,4.0,8.0,0.0
2013,Amitoze Singh,,,,,,,,
2013,Axar Patel,,,,,,,,
2013,Dhawal Kulkarni,81.0,6.0,8.0,53.0,0.0,0.0,0.0,0.0
2013,Dinesh Karthik,219.0,19.0,0.0,0.0,54.0,14.0,12.0,2.0
2013,Dwayne Smith,200.5,13.0,2.0,7.0,40.0,19.0,8.0,0.0
2013,Glenn Maxwell,21.0,3.0,0.0,2.0,1.0,4.0,1.0,0.0
2013,Harbhajan Singh,317.0,19.0,24.0,163.0,12.0,5.0,9.0,0.0
2013,Jacob Oram,11.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0
2013,Jalaj Saxena,,,,,,,,
2013,James Franklin,,,,,,,,
2013,Jasprit Bumrah,26.5,2.0,3.0,16.0,0.0,0.0,0.0,0.0
2013,Javed Khan,,,,,,,,
2013,Kieron Pollard,294.0,18.0,10.0,60.0,27.0,29.0,12.0,0.0
2013,Lasith Malinga,227.0,17.0,20.0,147.0,1.0,0.0,3.0,0.0
2013,Mitchell Johnson,301.5,17.0,24.0,188.0,2.0,2.0,7.0,0.0
2013,Munaf Patel,42.5,4.0,3.0,32.0,0.0,0.0,0.0,0.0
2013,Nathan Coulter-Nile,20.5,1.0,1.0,11.0,0.0,1.0,1.0,0.0
2013,Pawan Suyal,15.0,1.0,1.0,9.0,0.0,0.0,1.0,0.0
2013,Phillip Hughes,,,,,,,,
2013,Pragyan Ojha,169.0,16.0,16.0,108.0,0.0,0.0,2.0,0.0
2013,Ricky Ponting,16.0,6.0,0.0,0.0,3.0,1.0,2.0,0.0
2013,Rishi Dhawan,56.0,6.0,2.0,34.0,3.0,0.0,3.0,0.0
2013,Rohit Sharma,206.0,19.0,0.0,3.0,35.0,28.0,7.0,0.0
2013,Sachin Tendulkar,122.5,14.0,0.0,0.0,38.0,5.0,4.0,0.0
2013,Suryakumar Yadav,,,,,,,,
2013,Sushant Marathe,,,,,,,,
2013,Yuzvendra Chahal,8.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0
