Season,Delhi Daredevils,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2013,Aavishkar Salvi,,,,,,,,
2013,Ajit Agarkar,19.5,4.0,0.0,17.0,0.0,0.0,1.0,0.0
2013,Andre Russell,12.5,3.0,0.0,10.0,0.0,0.0,1.0,0.0
2013,Arisht Singhvi,,,,,,,,
2013,Ashish Nehra,125.0,10.0,11.0,84.0,0.0,0.0,1.0,0.0
2013,Ben Rohrer,78.5,8.0,0.0,1.0,21.0,5.0,3.0,0.0
2013,Bharat Chipli,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
2013,CM Gautam,13.5,3.0,0.0,0.0,4.0,1.0,0.0,0.0
2013,David Warner,166.5,16.0,0.0,0.0,41.0,14.0,6.0,0.0
2013,Gulam Bodi,,,,,,,,
2013,Irfan Pathan,212.0,15.0,10.0,134.0,9.0,3.0,4.0,0.0
2013,Jeevan Mendis,19.5,3.0,1.0,11.0,0.0,0.0,2.0,0.0
2013,Jesse Ryder,,,,,,,,
2013,Johan Botha,83.0,6.0,5.0,37.0,5.0,1.0,5.0,0.0
2013,Kedar Jadhav,52.5,12.0,0.0,0.0,8.0,5.0,4.0,2.0
2013,Kevin Pietersen,,,,,,,,
2013,Mahela Jayawardene,128.5,15.0,0.0,0.0,39.0,6.0,4.0,0.0
2013,Manpreet Juneja,31.0,7.0,0.0,0.0,11.0,1.0,0.0,0.0
2013,Morne Morkel,141.0,10.0,7.0,91.0,6.0,3.0,0.0,0.0
2013,Naman Ojha,5.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
2013,Pawan Negi,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2013,Puneet Bisht,,,,,,,,
2013,Robin BistX,,,,,,,,
2013,Roelof van der Merwe,40.5,3.0,3.0,25.0,2.0,0.0,0.0,0.0
2013,Royston Dias,,,,,,,,
2013,Shahbaz Nadeem,141.5,12.0,9.0,95.0,1.0,0.0,5.0,0.0
2013,Siddarth Kaul,60.5,6.0,4.0,44.0,0.0,0.0,1.0,0.0
2013,Sujit Nayak,,,,,,,,
2013,Sunny Gupta,,,,,,,,
2013,Umesh Yadav,205.5,16.0,16.0,126.0,3.0,1.0,5.0,0.0
2013,Unmukt Chand,66.5,9.0,0.0,0.0,17.0,4.0,4.0,0.0
2013,Varun Aaron,,,,,,,,
2013,Virender Sehwag,136.0,13.0,0.0,0.0,41.0,6.0,5.0,0.0
2013,Yalaka Venugopal Rao,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,Yogesh Nagar,,,,,,,,
