Season,Pune Warriors India,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2013,Aaron Finch,204.5,14.0,1.0,5.0,54.0,16.0,2.0,0.0
2013,Abhishek Nayar,35.0,11.0,2.0,13.0,5.0,0.0,1.0,0.0
2013,Ajantha Mendis,36.0,3.0,2.0,29.0,0.0,0.0,0.0,0.0
2013,Ali Murtaza,32.5,3.0,3.0,17.0,1.0,0.0,1.0,0.0
2013,Angelo Mathews,127.5,11.0,5.0,50.0,5.0,10.0,5.0,0.0
2013,Anustup Majumdar,,,,,,,,
2013,Ashok Dinda,171.0,13.0,16.0,105.0,1.0,0.0,3.0,0.0
2013,Bhuvneshwar Kumar,228.5,16.0,13.0,167.0,3.0,1.0,2.0,0.0
2013,Dheeraj Jadhav,,,,,,,,
2013,Eklavya Dwivedi,,,,,,,,
2013,Harpreet Singh,,,,,,,,
2013,Ishwar Pandey,10.5,2.0,1.0,7.0,0.0,0.0,0.0,0.0
2013,Kane Richardson,43.5,3.0,2.0,28.0,2.0,1.0,0.0,0.0
2013,Krishnakant Upadhyay,12.5,2.0,0.0,10.0,0.0,0.0,1.0,0.0
2013,Luke Wright,74.5,6.0,2.0,12.0,16.0,3.0,2.0,0.0
2013,Mahesh Rawat,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
2013,Manish Pandey,53.0,7.0,0.0,0.0,11.0,3.0,6.0,0.0
2013,Marlon Samuels,16.5,2.0,1.0,8.0,1.0,0.0,1.0,0.0
2013,Michael Clarke,,,,,,,,
2013,Mitchell Marsh,127.0,9.0,7.0,35.0,6.0,10.0,7.0,0.0
2013,Mithun Manhas,7.5,3.0,0.0,0.0,1.0,0.0,2.0,0.0
2013,Mohnish Mishra,,,,,,,,
2013,Parvez Rasool,15.5,2.0,1.0,12.0,0.0,0.0,0.0,0.0
2013,Rahul Sharma,124.0,11.0,9.0,85.0,1.0,0.0,2.0,0.0
2013,Raiphi Gomez,11.5,2.0,0.0,4.0,1.0,0.0,2.0,0.0
2013,Robin Uthappa,164.5,16.0,0.0,0.0,42.0,12.0,7.0,0.0
2013,Ross Taylor,13.5,5.0,0.0,0.0,2.0,1.0,2.0,0.0
2013,Shrikant Wagh,,,,,,,,
2013,Steve Smith,61.5,7.0,0.0,0.0,15.0,4.0,4.0,0.0
2013,Tamim Iqbal,,,,,,,,
2013,Tirumalasetti Suman,31.5,7.0,1.0,3.0,8.0,0.0,2.0,0.0
2013,Udit Birla,5.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
2013,Wayne Parnell,56.5,4.0,6.0,33.0,0.0,0.0,1.0,0.0
2013,Yuvraj Singh,150.0,13.0,6.0,39.0,14.0,15.0,1.0,0.0
