Season,Rajasthan Royals,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2014,Abhishek Nayar,18.5,5.0,0.0,0.0,5.0,1.0,1.0,0.0
2014,Ajinkya Rahane,120.5,13.0,0.0,0.0,38.0,3.0,6.0,0.0
2014,Amit Mishra,90.5,10.0,7.0,66.0,0.0,0.0,0.0,0.0
2014,Ankit Sharma,49.5,3.0,4.0,22.0,4.0,1.0,0.0,0.0
2014,Ankush Bains,,,,,,,,
2014,Ben Cutting,18.5,1.0,1.0,9.0,0.0,1.0,1.0,0.0
2014,Brad Hodge,36.0,4.0,0.0,0.0,4.0,6.0,2.0,0.0
2014,Deepak Hooda,,,,,,,,
2014,Dhawal Kulkarni,105.5,8.0,6.0,70.0,1.0,2.0,2.0,0.0
2014,Dishant Yagnik,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2014,Iqbal Abdulla,4.5,1.0,0.0,2.0,0.0,0.0,1.0,0.0
2014,James Faulkner,191.5,13.0,11.0,72.0,8.0,16.0,2.0,0.0
2014,Kane Richardson,101.0,7.0,9.0,62.0,0.0,0.0,3.0,0.0
2014,Karun Nair,136.5,11.0,0.0,0.0,38.0,9.0,4.0,0.0
2014,Kevon Cooper,68.5,5.0,4.0,34.0,2.0,3.0,2.0,0.0
2014,Pravin Tambe,146.5,13.0,15.0,89.0,0.0,0.0,2.0,0.0
2014,Rahul Tewatia,31.5,3.0,2.0,21.0,0.0,1.0,0.0,0.0
2014,Rajat Bhatia,131.0,12.0,12.0,56.0,4.0,3.0,5.0,0.0
2014,Sanju Samson,139.5,13.0,0.0,0.0,25.0,17.0,5.0,2.0
2014,Shane Watson,185.5,13.0,7.0,57.0,19.0,14.0,3.0,0.0
2014,Steve Smith,69.0,10.0,0.0,0.0,13.0,4.0,9.0,0.0
2014,Stuart Binny,63.5,13.0,3.0,18.0,4.0,5.0,3.0,0.0
2014,Tim Southee,32.5,3.0,0.0,25.0,1.0,0.0,2.0,0.0
2014,Unmukt Chand,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,Vikramjeet Malik,13.0,1.0,1.0,7.0,0.0,0.0,1.0,0.0
