Season,Kolkata Knight Riders,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2011,Brad Haddin,8.5,1.0,0.0,0.0,2.0,1.0,0.0,0.0
2011,Brett Lee,130.5,12.0,5.0,108.0,0.0,0.0,2.0,0.0
2011,Eoin Morgan,60.5,12.0,0.0,0.0,17.0,3.0,3.0,0.0
2011,Gautam Gambhir,123.0,15.0,0.0,0.0,44.0,3.0,1.0,0.0
2011,Iqbal Abdulla,197.0,15.0,16.0,131.0,1.0,0.0,3.0,0.0
2011,Jacques Kallis,237.0,15.0,7.0,54.0,46.0,6.0,9.0,0.0
2011,James Pattinson,,,,,,,,
2011,Jaydev Unadkat,66.0,7.0,6.0,40.0,0.0,0.0,2.0,0.0
2011,Lakshmipathy Balaji,129.0,14.0,10.0,89.0,0.0,0.0,2.0,0.0
2011,Laxmi Ratan Shukla,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
2011,Manoj Tiwary,133.0,15.0,0.0,4.0,26.0,14.0,6.0,0.0
2011,Manvinder Bisla,27.5,5.0,0.0,0.0,8.0,0.0,1.0,2.0
2011,Mark Boucher,2.5,4.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,Mohammed Shami,,,,,,,,
2011,Pradeep Sangwan,,,,,,,,
2011,Rajat Bhatia,101.5,14.0,8.0,56.0,3.0,0.0,4.0,0.0
2011,Ryan ten Doeschate,45.0,6.0,0.0,0.0,9.0,5.0,2.0,0.0
2011,Sarabjit Ladda,10.5,2.0,0.0,8.0,0.0,0.0,1.0,0.0
2011,Shakib Al Hasan,107.5,7.0,11.0,59.0,4.0,0.0,0.0,0.0
2011,Shreevats Goswami,25.0,5.0,0.0,0.0,5.0,0.0,4.0,1.0
2011,Yusuf Pathan,256.5,15.0,13.0,93.0,24.0,13.0,5.0,0.0
