Season,Royal Challengers Bangalore,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2011,AB de Villiers,124.0,16.0,0.0,0.0,21.0,14.0,7.0,2.0
2011,Abhimanyu Mithun,113.0,12.0,5.0,67.0,3.0,1.0,7.0,0.0
2011,Abrar Kazi,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2011,Asad Pathan,31.5,6.0,0.0,7.0,5.0,2.0,2.0,0.0
2011,BN Bharath,,,,,,,,
2011,CM Gautam,,,,,,,,
2011,Charl Langeveldt,48.0,3.0,5.0,27.0,0.0,1.0,0.0,0.0
2011,Cheteshwar Pujara,12.5,7.0,0.0,0.0,4.0,0.0,1.0,0.0
2011,Chris Gayle,409.5,12.0,8.0,80.0,57.0,44.0,2.0,0.0
2011,Daniel Vettori,177.0,13.0,12.0,119.0,1.0,1.0,4.0,0.0
2011,Dirk Nannes,20.5,2.0,2.0,11.0,0.0,0.0,1.0,0.0
2011,Johan van der Wath,45.5,3.0,3.0,29.0,1.0,1.0,0.0,0.0
2011,Jonathan Vandiar,,,,,,,,
2011,KB Arun Karthik,7.5,3.0,0.0,0.0,1.0,0.0,2.0,0.0
2011,Luke Pomersbach,29.5,5.0,0.0,0.0,4.0,2.0,5.0,0.0
2011,Mayank Agarwal,61.5,8.0,0.0,0.0,16.0,4.0,3.0,0.0
2011,Mohammad Kaif,27.5,8.0,0.0,0.0,5.0,0.0,6.0,0.0
2011,Nuwan Pradeep,,,,,,,,
2011,Raju Bhatkal,,,,,,,,
2011,Rilee Rossouw,,,,,,,,
2011,Ryan Ninan,21.0,2.0,3.0,8.0,0.0,0.0,1.0,0.0
2011,Saurabh Tiwary,62.5,16.0,0.0,0.0,13.0,5.0,5.0,0.0
2011,Sreenath Aravind,201.0,13.0,21.0,115.0,2.0,0.0,3.0,0.0
2011,Syed Mohammed,54.0,5.0,5.0,29.0,2.0,0.0,1.0,0.0
2011,Tillakaratne Dilshan,115.0,10.0,1.0,16.0,33.0,3.0,1.0,0.0
2011,Virat Kohli,241.0,16.0,2.0,23.0,55.0,16.0,7.0,0.0
2011,Zaheer Khan,205.0,15.0,14.0,141.0,2.0,0.0,4.0,0.0
