Season,Delhi Daredevils,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2011,Aaron Finch,33.0,6.0,0.0,5.0,3.0,3.0,4.0,0.0
2011,Aavishkar Salvi,30.0,2.0,3.0,17.0,0.0,0.0,1.0,0.0
2011,Ajit Agarkar,76.5,7.0,8.0,46.0,1.0,0.0,0.0,0.0
2011,Ajit Chandila,,,,,,,,
2011,Andrew McDonald,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
2011,Ashok Dinda,58.5,6.0,5.0,41.0,0.0,0.0,0.0,0.0
2011,Colin Ingram,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
2011,David Warner,133.5,13.0,0.0,0.0,34.0,11.0,4.0,0.0
2011,Irfan Pathan,223.5,14.0,11.0,124.0,12.0,6.0,4.0,0.0
2011,James Hopes,150.5,10.0,7.0,53.0,22.0,3.0,3.0,0.0
2011,Matthew Wade,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Morne Morkel,177.5,11.0,13.0,115.0,3.0,2.0,1.0,0.0
2011,Naman Ojha,86.0,14.0,0.0,0.0,11.0,11.0,8.0,0.0
2011,Prashant Naik,,,,,,,,
2011,Robbie Frylinck,,,,,,,,
2011,Robin BistX,,,,,,,,
2011,Roelof van der Merwe,61.0,4.0,5.0,36.0,1.0,0.0,2.0,0.0
2011,Shahbaz Nadeem,51.0,5.0,4.0,37.0,0.0,0.0,0.0,0.0
2011,Sridharan Sriram,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Tejashwi Yadav,,,,,,,,
2011,Travis Birt,29.5,5.0,0.0,0.0,9.0,2.0,0.0,0.0
2011,Umesh Yadav,50.5,7.0,2.0,36.0,0.0,0.0,3.0,0.0
2011,Unmukt Chand,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Varun Aaron,38.0,4.0,2.0,31.0,0.0,0.0,0.0,0.0
2011,Vikas Mishra,,,,,,,,
2011,Virender Sehwag,213.0,11.0,0.0,0.0,51.0,18.0,9.0,0.0
2011,Vivek Yadav,,,,,,,,
2011,Yalaka Venugopal Rao,133.5,14.0,0.0,3.0,30.0,13.0,4.0,0.0
2011,Yogesh Nagar,47.0,11.0,1.0,5.0,6.0,6.0,1.0,0.0
