Season,Chennai Super Kings,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2011,Abhinav Mukund,,,,,,,,
2011,Albie Morkel,212.5,15.0,15.0,102.0,8.0,8.0,4.0,0.0
2011,Anirudha Srikkanth,45.5,9.0,0.0,0.0,6.0,3.0,8.0,0.0
2011,Ben Hilfenhaus,,,,,,,,
2011,Doug Bollinger,183.5,13.0,17.0,114.0,0.0,0.0,4.0,0.0
2011,Dwayne Bravo,74.5,6.0,6.0,40.0,1.0,1.0,3.0,0.0
2011,Francois du Plessis,,,,,,,,
2011,Ganapathi Vignesh,,,,,,,,
2011,George Bailey,,,,,,,,
2011,Joginder Sharma,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
2011,Kuthethurshri Vasudevadas,,,,,,,,
2011,Mahendra Singh Dhoni,168.0,16.0,0.0,0.0,25.0,23.0,5.0,5.0
2011,Mike Hussey,171.0,14.0,0.0,0.0,53.0,6.0,7.0,0.0
2011,Murali Vijay,167.5,16.0,0.0,0.0,34.0,20.0,5.0,0.0
2011,Nuwan Kulasekara,10.5,1.0,1.0,7.0,0.0,0.0,0.0,0.0
2011,Ravichandran Ashwin,237.0,16.0,20.0,157.0,0.0,0.0,4.0,0.0
2011,Scott Styris,6.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0
2011,Shadab Jakati,137.5,15.0,10.0,80.0,0.0,0.0,9.0,0.0
2011,Subramaniam Badrinath,129.0,16.0,0.0,0.0,38.0,9.0,1.0,0.0
2011,Sudeep Tyagi,,,,,,,,
2011,Suraj Randiv,86.0,8.0,6.0,60.0,0.0,0.0,2.0,0.0
2011,Suresh Raina,235.5,16.0,4.0,62.0,36.0,17.0,4.0,0.0
2011,Tim Southee,57.0,5.0,4.0,43.0,0.0,0.0,0.0,0.0
2011,Wriddhiman Saha,24.0,7.0,0.0,0.0,2.0,4.0,2.0,0.0
2011,Yo Mahesh,,,,,,,,
