Season,Kings XI Punjab,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2011,Abhishek Nayar,49.5,10.0,2.0,15.0,9.0,0.0,2.0,0.0
2011,Adam Gilchrist,195.5,14.0,0.0,0.0,41.0,18.0,9.0,3.0
2011,Amit Yadav,,,,,,,,
2011,Azhar Mehmood,,,,,,,,
2011,Bhargav Bhatt,89.0,10.0,9.0,55.0,0.0,0.0,1.0,0.0
2011,Bipul Sharma,46.0,4.0,4.0,27.0,1.0,0.0,1.0,0.0
2011,David Hussey,40.5,8.0,1.0,4.0,3.0,3.0,6.0,0.0
2011,David Miller,,,,,,,,
2011,Dimitri Mascarenhas,,,,,,,,
2011,Dinesh Karthik,122.0,14.0,0.0,0.0,32.0,7.0,7.0,0.0
2011,Love Ablish,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2011,Manan Vohra,,,,,,,,
2011,Mandeep Singh,16.0,6.0,0.0,0.0,4.0,1.0,1.0,0.0
2011,Nathan Rimmington,9.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0
2011,Nitin Saini,,,,,,,,
2011,Paras Dogra,,,,,,,,
2011,Paul Valthaty,282.5,14.0,7.0,43.0,56.0,20.0,2.0,0.0
2011,Piyush Chawla,168.5,12.0,16.0,93.0,2.0,2.0,3.0,0.0
2011,Praveen Kumar,185.5,13.0,10.0,137.0,2.0,1.0,2.0,0.0
2011,Ryan Harris,194.5,13.0,16.0,111.0,3.0,0.0,8.0,0.0
2011,Ryan McLaren,73.5,6.0,5.0,30.0,7.0,1.0,2.0,0.0
2011,Shalabh Srivastava,82.0,6.0,8.0,49.0,0.0,0.0,2.0,0.0
2011,Shaun Marsh,215.0,14.0,0.0,0.0,52.0,20.0,6.0,0.0
2011,Siddharth Chitnis,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,Stuart Broad,,,,,,,,
2011,Sunny Singh,21.0,6.0,0.0,0.0,6.0,1.0,1.0,0.0
2011,Vikramjeet Malik,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
