Season,Deccan Chargers,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2011,Akash Bhandari,,,,,,,,
2011,Amit Mishra,227.5,14.0,19.0,130.0,9.0,1.0,2.0,0.0
2011,Anand Rajan,30.5,2.0,3.0,15.0,0.0,0.0,2.0,0.0
2011,Ankit Sharma,,,,,,,,
2011,Arjun Yadav,,,,,,,,
2011,Ashish Reddy,,,,,,,,
2011,Bharat Chipli,70.0,14.0,0.0,1.0,21.0,4.0,1.0,0.0
2011,Cameron White,27.0,6.0,0.0,0.0,6.0,2.0,2.0,0.0
2011,Chris Lynn,,,,,,,,
2011,Dale Steyn,193.0,12.0,14.0,134.0,3.0,0.0,1.0,0.0
2011,Daniel Christian,212.0,14.0,11.0,109.0,9.0,7.0,7.0,0.0
2011,Dwaraka Ravi Teja,70.0,12.0,0.0,1.0,17.0,4.0,5.0,0.0
2011,Harmeet Singh,27.5,2.0,3.0,17.0,0.0,0.0,0.0,0.0
2011,Ishan Malhotra,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2011,Ishank Jaggi,10.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0
2011,Ishant Sharma,167.0,12.0,11.0,121.0,0.0,0.0,3.0,0.0
2011,JP Duminy,113.5,10.0,4.0,44.0,9.0,8.0,2.0,0.0
2011,Jaydev Shah,,,,,,,,
2011,Kedar Devdhar,2.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2011,Kevin Pietersen,,,,,,,,
2011,Kumar Sangakkara,175.0,13.0,0.0,0.0,44.0,5.0,17.0,2.0
2011,Manpreet Gony,31.0,3.0,4.0,17.0,0.0,0.0,0.0,0.0
2011,Michael Lumb,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2011,Pragyan Ojha,126.0,10.0,10.0,86.0,0.0,0.0,2.0,0.0
2011,Rajesh Pawar,,,,,,,,
2011,Rusty Theron,,,,,,,,
2011,Shikhar Dhawan,165.5,14.0,1.0,5.0,47.0,7.0,6.0,0.0
2011,Sunny Sohal,97.5,11.0,0.0,0.0,25.0,10.0,0.0,0.0
