Season,Pune Warriors India,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2011,Abhishek Jhunjhunwala,16.0,3.0,0.0,1.0,2.0,0.0,4.0,0.0
2011,Alfonso Thomas,139.5,11.0,11.0,96.0,0.0,0.0,2.0,0.0
2011,Angelo Mathews,,,,,,,,
2011,Ashish Nehra,,,,,,,,
2011,Bhuvneshwar Kumar,43.5,4.0,3.0,28.0,0.0,0.0,2.0,0.0
2011,Callum Ferguson,17.5,5.0,0.0,0.0,6.0,0.0,1.0,0.0
2011,Dheeraj Jadhav,,,,,,,,
2011,Eklavya Dwivedi,,,,,,,,
2011,Fidel Edwards,,,,,,,,
2011,Ganesh Gaikwad,,,,,,,,
2011,Graeme Smith,17.5,4.0,0.0,0.0,6.0,0.0,1.0,0.0
2011,Harpreet Singh,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
2011,Harshad Khadiwale,,,,,,,,
2011,Imtiaz Ahmed,,,,,,,,
2011,James Faulkner,10.5,1.0,1.0,7.0,0.0,0.0,0.0,0.0
2011,Jerome Taylor,,,,,,,,
2011,Jesse Ryder,184.0,13.0,4.0,29.0,37.0,11.0,4.0,0.0
2011,Kamran Khan,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
2011,Manish Pandey,103.5,10.0,0.0,0.0,28.0,6.0,5.0,0.0
2011,Mashrafe Mortaza,,,,,,,,
2011,Mitchell Marsh,65.0,5.0,7.0,25.0,2.0,3.0,0.0,0.0
2011,Mithun Manhas,56.5,10.0,0.0,15.0,8.0,4.0,3.0,0.0
2011,Mohnish Mishra,19.5,6.0,0.0,0.0,5.0,2.0,0.0,0.0
2011,Murali Kartik,48.5,6.0,1.0,40.0,1.0,0.0,1.0,0.0
2011,Nathan McCullum,16.0,2.0,0.0,10.0,0.0,1.0,1.0,0.0
2011,Nayan Doshi,13.5,3.0,1.0,10.0,0.0,0.0,0.0,0.0
2011,Rahul Sharma,211.0,14.0,16.0,128.0,1.0,2.0,7.0,0.0
2011,Robin Uthappa,140.0,14.0,0.0,0.0,27.0,10.0,12.0,3.0
2011,Sachin Rana,7.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
2011,Shrikant Mundhe,7.5,1.0,1.0,4.0,0.0,0.0,0.0,0.0
2011,Shrikant Wagh,59.5,7.0,4.0,43.0,0.0,0.0,1.0,0.0
2011,Sourav Ganguly,17.0,4.0,0.0,0.0,3.0,2.0,1.0,0.0
2011,Tim Paine,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,Wayne Parnell,117.5,8.0,9.0,75.0,2.0,1.0,1.0,0.0
2011,Yuvraj Singh,228.0,14.0,9.0,61.0,24.0,18.0,5.0,0.0
