Season,Kolkata Knight Riders,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2016,Andre Russell,225.0,12.0,15.0,90.0,10.0,15.0,2.0,0.0
2016,Ankit Rajpoot,28.5,4.0,3.0,18.0,0.0,0.0,0.0,0.0
2016,Brad Hogg,52.5,5.0,4.0,31.0,0.0,0.0,3.0,0.0
2016,Chris Lynn,6.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
2016,Colin Munro,17.5,4.0,0.0,5.0,3.0,0.0,2.0,0.0
2016,Gautam Gambhir,158.5,15.0,0.0,0.0,54.0,6.0,1.0,0.0
2016,Jason Holder,42.5,4.0,2.0,27.0,2.0,1.0,0.0,0.0
2016,Jaydev Unadkat,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
2016,John Hastings,29.0,2.0,2.0,22.0,0.0,0.0,0.0,0.0
2016,Kuldeep Yadav,51.5,3.0,6.0,28.0,0.0,0.0,1.0,0.0
2016,Manan Sharma,,,,,,,,
2016,Manish Pandey,91.5,12.0,0.0,0.0,17.0,9.0,7.0,0.0
2016,Morne Morkel,124.0,10.0,10.0,89.0,0.0,0.0,0.0,0.0
2016,Piyush Chawla,137.0,12.0,11.0,81.0,4.0,0.0,3.0,0.0
2016,Rajagopal Sathish,17.5,4.0,1.0,8.0,1.0,1.0,0.0,0.0
2016,Robin Uthappa,175.5,15.0,0.0,0.0,45.0,8.0,10.0,4.0
2016,Shakib Al Hasan,120.5,10.0,5.0,58.0,7.0,5.0,4.0,0.0
2016,Shaun Tait,,,,,,,,
2016,Sheldon Jackson,,,,,,,,
2016,Sunil Narine,153.5,11.0,11.0,110.0,0.0,0.0,2.0,0.0
2016,Suryakumar Yadav,80.0,15.0,0.0,0.0,19.0,5.0,6.0,0.0
2016,Umesh Yadav,87.0,9.0,10.0,46.0,0.0,1.0,1.0,0.0
2016,Yusuf Pathan,153.0,15.0,1.0,14.0,33.0,13.0,3.0,0.0
