Season,Kings XI Punjab,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2016,Anureet Singh,12.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0
2016,Armaan Jaffer,,,,,,,,
2016,Axar Patel,179.5,14.0,13.0,91.0,4.0,8.0,2.0,0.0
2016,David Miller,66.5,14.0,0.0,0.0,11.0,4.0,10.0,0.0
2016,Farhaan Behardien,7.5,3.0,0.0,0.0,2.0,0.0,1.0,0.0
2016,Glenn Maxwell,86.5,11.0,0.0,16.0,14.0,8.0,3.0,0.0
2016,Gurkeerat Singh,64.5,7.0,2.0,7.0,11.0,3.0,5.0,0.0
2016,Hashim Amla,64.0,6.0,0.0,0.0,20.0,4.0,0.0,0.0
2016,KC Cariappa,54.0,5.0,3.0,35.0,0.0,1.0,2.0,0.0
2016,Kyle Abbott,38.5,5.0,2.0,28.0,0.0,1.0,0.0,0.0
2016,Manan Vohra,65.5,7.0,0.0,0.0,19.0,3.0,3.0,0.0
2016,Marcus Stoinis,113.5,7.0,8.0,39.0,13.0,4.0,0.0,0.0
2016,Mitchell Johnson,30.5,3.0,2.0,21.0,0.0,0.0,1.0,0.0
2016,Mohit Sharma,161.0,14.0,13.0,97.0,3.0,1.0,3.0,0.0
2016,Murali Vijay,167.0,14.0,0.0,2.0,50.0,10.0,2.0,0.0
2016,Nikhil Naik,7.5,2.0,0.0,0.0,1.0,0.0,2.0,0.0
2016,Pardeep Sahu,40.5,5.0,3.0,24.0,1.0,1.0,0.0,0.0
2016,Rishi Dhawan,22.5,2.0,2.0,12.0,0.0,1.0,0.0,0.0
2016,Sandeep Sharma,184.5,14.0,15.0,127.0,0.0,0.0,2.0,0.0
2016,Shardul Thakur,,,,,,,,
2016,Shaun Marsh,49.0,6.0,0.0,0.0,13.0,4.0,1.0,0.0
2016,Swapnil Singh,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2016,Wriddhiman Saha,101.0,12.0,0.0,0.0,29.0,1.0,7.0,3.0
